"MARCA","QTD"
"I/NISSAN LEAF TEKNA",10
"I/BMW I3 REX",8
"I/JAG IPACE E400 SE",8
"I/CHEVROLET BOLT PREMIER",8
"I/BMW I8",5
"I/VOLVO XC90 T8 INSCRIPT",4
"I/AUDI E TRON",4
"MON/PROTOTIPO",3
"I/JAC IEV 20",3
"I/RENAULT ZOE INTENS LR",3
"I/JAC IEV40",2
"I/AUDI E TRON SPB",2
"I/M.BENZ EQC400 4M",2
"I/TESLA MODEL Y PERFORM",1
"I/RENAULT ZOE LIFE LR",1
"I/BYD E6",1
"I/VOLVO XC90 T8 EXCELLEN",1
"I/BMW I3 REX 94AH",1
"I/BMW I3 BEV",1
"I/CHRYSLER PACIFICA LMT",1
"P.DRESCH/F.PROPRIA AUTO",1
"I/BMW I3 BEV 120AH",1
